YEAR;DOY;ALLSKY_SFC_SW_DWN;TOA_SW_DWN;ALLSKY_SFC_SW_DNI;T2M;T2MWET;T2M_MAX;T2M_MIN;TS_MAX;TS_MIN;QV2M;RH2M;PRECTOTCORR;PS;WS2M_MAX;WS2M_MIN;WS10M_MAX;WS10M_MIN;GWETPROF;ALLSKY_SFC_LW_DWN;TS
2025;1;34.53;44.1;45.13;18.13;12.76;25.88;11.32;30.91;11.06;6.61;55.92;0.0;99.88;4.09;1.79;5.43;2.32;0.52;25.46;20.08
2025;2;33.44;44.06;40.39;18.52;13.71;26.85;11.69;31.58;11.22;7.29;60.91;0.0;99.73;4.36;0.42;5.85;0.48;0.52;26.62;20.4
2025;3;23.32;44.01;6.24;18.11;14.43;25.38;12.08;30.52;11.52;8.16;67.31;0.03;99.78;3.6;0.75;4.86;1.02;0.52;32.77;20.08
2025;4;23.69;43.96;18.72;18.23;14.46;25.1;12.09;30.29;11.92;8.1;66.19;0.01;99.85;3.45;1.06;4.66;1.51;0.52;31.84;20.24
2025;5;20.79;43.91;15.27;19.9;16.13;27.71;14.08;32.63;14.06;9.04;65.68;0.0;99.59;3.66;0.31;5.03;0.49;0.52;32.22;21.56
2025;6;23.29;43.86;11.67;19.2;15.24;25.91;13.49;31.06;12.93;8.43;64.64;0.02;99.72;3.97;0.54;5.34;0.69;0.52;33.16;21.13
2025;7;23.75;43.8;15.48;18.3;14.78;24.4;12.92;29.7;12.38;8.4;67.53;0.01;99.92;4.21;0.71;5.66;0.91;0.52;31.76;20.37
2025;8;33.32;43.73;42.42;18.87;15.22;26.08;12.85;30.58;12.79;8.59;67.55;0.01;99.89;4.94;2.0;6.61;2.78;0.52;27.62;20.66
2025;9;31.98;43.67;37.16;19.68;15.42;28.17;13.08;31.94;12.4;8.4;63.81;0.0;99.69;6.17;1.39;8.4;2.04;0.52;28.71;21.07
2025;10;33.65;43.59;44.05;19.47;14.45;27.22;12.78;31.45;12.61;7.56;59.2;0.0;99.62;5.67;1.12;7.66;1.53;0.52;26.57;21.0
2025;11;32.87;43.52;42.13;20.51;14.58;30.86;12.46;33.89;11.83;7.29;56.52;0.08;99.5;5.72;1.01;7.91;1.43;0.52;27.21;21.61
2025;12;18.69;43.44;7.27;18.2;15.51;23.87;13.24;29.01;12.75;9.31;73.88;0.04;99.67;3.69;0.62;4.87;0.79;0.52;33.22;20.22
2025;13;23.25;43.36;18.16;18.24;14.93;24.82;13.61;29.92;13.23;8.62;68.11;0.0;99.86;4.98;0.45;6.55;0.64;0.52;30.89;20.2
2025;14;32.96;43.27;43.56;17.95;13.05;25.19;11.63;29.81;11.58;6.9;58.03;0.03;99.93;4.83;0.39;6.53;0.43;0.52;26.74;19.97
2025;15;25.43;43.18;15.32;20.15;16.79;27.43;13.18;31.21;12.92;9.71;69.1;0.03;100.01;5.78;1.55;7.94;2.21;0.52;31.99;21.44
